ID_Transaksi,ID_Pengguna,ID_Produk,Waktu_Transaksi,Jumlah_Transaksi,Metode_Pembayaran,Alamat_Pengiriman,Kategori_Produk,Penilaian_Produk,Total_Harga
T00018,U7252,P710,2024-05-05,8,Dana,"Gang Gegerkalong Hilir No. 4, Lubuklinggau, YO 79911",Elektronik,5,1170472
T00019,U2876,P798,2024-09-11,9,Virtual Account,"Gg. Cikutra Timur No. 542, Probolinggo, Maluku 84124",Elektronik,1,22608513
T00020,U8123,P261,2024-03-31,8,E-Wallet,"Gang Rungkut Industri No. 534, Kota Administrasi Jakarta Pusat, Bengkulu 64005",Elektronik,5,12389120
T00021,U9317,P208,2024-12-11,5,Dana,"Gg. M.H Thamrin No. 6, Binjai, DI Yogyakarta 80598",Makanan,2,6660540
T00022,U7126,P880,2024-04-13,3,Dana,"Gg. Siliwangi No. 533, Manado, SR 32260",Makanan,1,8307654
T00023,U9005,P119,2024-04-25,2,QRIS,"Gg. Jamika No. 1, Bandung, SU 37543",Elektronik,2,1071822
T00024,U4946,P999,2024-05-12,10,Transfer Bank,"Gang Pelajar Pejuang No. 458, Tangerang, Nusa Tenggara Barat 14294",Kesehatan,4,6305960
T00025,U9727,P884,2024-03-01,3,Kartu Kredit,"Gang Bangka Raya No. 8, Meulaboh, Kalimantan Selatan 06088",Fashion,5,4305555
T00026,U5342,P640,2024-11-08,10,Cash on Delivery (COD),"Jalan Otto Iskandardinata No. 95, Tebingtinggi, Maluku 65648",Peralatan Rumah,5,17373770
T00027,U6107,P508,2024-04-05,6,Kredivo,"Jalan Kendalsari No. 4, Purwokerto, Aceh 43699",Makanan,4,6390336
T00028,U5061,P330,2024-10-27,2,QRIS,"Gang Tebet Barat Dalam No. 872, Kotamobagu, SS 13433",Kesehatan,5,9393260
T00029,U4770,P702,2024-04-13,4,E-Wallet,"Gg. Kendalsari No. 769, Tasikmalaya, Papua Barat 63201",Kesehatan,1,7882008
T00030,U2104,P132,2024-12-14,6,Transfer Bank,"Gg. Cikapayang No. 3, Palu, JB 88957",Makanan,2,14316216
T00031,U8953,P319,2024-10-10,9,Kartu Kredit,"Gg. Cihampelas No. 34, Sorong, KU 71434",Makanan,5,36135459
T00032,U4981,P903,2024-06-25,8,Cash on Delivery (COD),"Jl. Moch. Ramdan No. 23, Padangpanjang, SR 87603",Peralatan Rumah,1,6904912
T00033,U8062,P462,2025-01-04,7,Cash on Delivery (COD),"Gg. Ronggowarsito No. 546, Prabumulih, KI 34670",Fashion,1,6129116
T00034,U1993,P512,2024-07-16,6,Transfer Bank,"Gg. Gegerkalong Hilir No. 8, Mojokerto, BA 62720",Peralatan Rumah,2,9873522
T00035,U9786,P559,2024-05-27,3,Cash on Delivery (COD),"Gg. Raya Ujungberung No. 64, Kota Administrasi Jakarta Pusat, JK 08053",Peralatan Rumah,3,11792415
T00036,U5092,P995,2024-10-25,2,Kredivo,"Jl. Kiaracondong No. 923, Parepare, Jambi 74529",Makanan,1,948730
T00037,U9856,P956,2024-10-08,1,Transfer Bank,"Jalan Indragiri No. 496, Tasikmalaya, Kalimantan Selatan 93149",Peralatan Rumah,2,3459248
T00038,U8956,P592,2024-12-24,4,Cash on Delivery (COD),"Gang Kapten Muslihat No. 18, Balikpapan, Sulawesi Barat 16572",Kesehatan,2,12916224
T00039,U1035,P499,2024-08-03,5,Kredivo,"Gang Bangka Raya No. 9, Madiun, Kalimantan Utara 47379",Elektronik,4,23560610
T00040,U8973,P258,2024-10-10,4,Virtual Account,"Gg. Raya Ujungberung No. 735, Makassar, KR 80831",Peralatan Rumah,1,19634064
T00041,U9883,P162,2024-05-19,6,E-Wallet,"Gg. H.J Maemunah No. 7, Banda Aceh, JK 36349",Kesehatan,5,24297546
T00042,U9238,P973,2024-07-08,9,Kartu Kredit,"Gang Setiabudhi No. 7, Lhokseumawe, BB 13518",Kesehatan,5,6498207
T00043,U4044,P170,2024-12-08,10,Transfer Bank,"Gg. Pelajar Pejuang No. 9, Bengkulu, Kalimantan Selatan 35240",Peralatan Rumah,4,10556810
T00044,U5033,P692,2024-11-16,10,E-Wallet,"Jl. M.H Thamrin No. 27, Balikpapan, Lampung 77520",Makanan,1,35667130
T00045,U9565,P423,2024-05-24,5,Kartu Debit,"Gg. Rajiman No. 902, Salatiga, MA 31869",Elektronik,2,11390680
T00046,U7484,P234,2024-10-04,5,Kredivo,"Gang Rajawali Barat No. 6, Salatiga, Bengkulu 33412",Elektronik,1,640715
T00047,U8508,P736,2024-05-19,10,Transfer Bank,"Jl. Tubagus Ismail No. 97, Bandung, Kalimantan Timur 47134",Kesehatan,5,18380670
T00048,U9288,P371,2024-12-17,3,QRIS,"Jl. H.J Maemunah No. 421, Cimahi, Maluku 71746",Kesehatan,2,9449451
T00049,U5669,P261,2024-05-31,8,Dana,"Jl. Bangka Raya No. 5, Bandar Lampung, JK 99049",Elektronik,5,12389120
T00050,U9666,P108,2024-03-02,9,Virtual Account,"Gang K.H. Wahid Hasyim No. 6, Bekasi, Sulawesi Utara 65512",Kesehatan,2,20416500
T00051,U2891,P209,2024-06-23,9,Kartu Kredit,"Gang M.H Thamrin No. 715, Madiun, JA 80876",Elektronik,3,16352001
T00052,U6617,P308,2024-03-08,5,Dana,"Gang Cikapayang No. 482, Palembang, Sumatera Barat 09324",Fashion,3,2380660
T00053,U2512,P749,2024-09-16,7,Virtual Account,"Jl. Gardujati No. 12, Tasikmalaya, Lampung 67737",Kesehatan,1,19936525
T00054,U3143,P752,2024-09-17,5,Kartu Kredit,"Jl. Cikutra Timur No. 65, Ambon, Lampung 99727",Fashion,5,18188485
T00055,U1158,P214,2024-09-12,2,Kartu Kredit,"Gang Erlangga No. 33, Kediri, SR 57662",Makanan,1,6294416
T00056,U3426,P540,2024-08-26,3,E-Wallet,"Jalan Cempaka No. 870, Padang Sidempuan, Jawa Tengah 74596",Elektronik,3,1153986
T00057,U6862,P315,2024-10-25,4,Transfer Bank,"Gang Medokan Ayu No. 7, Solok, DI Yogyakarta 43161",Elektronik,5,13835760
T00058,U3532,P342,2024-12-07,3,Kartu Kredit,"Gg. Astana Anyar No. 504, Medan, Sulawesi Selatan 38692",Fashion,1,4663758
T00059,U6442,P901,2024-04-22,7,Kartu Debit,"Jalan Yos Sudarso No. 2, Pangkalpinang, Kepulauan Bangka Belitung 40748",Elektronik,2,6697397
T00060,U7267,P993,2024-04-17,1,Kredivo,"Gang KH Amin Jasuta No. 47, Dumai, Papua Barat 13695",Peralatan Rumah,2,3911303
T00061,U6728,P412,2024-09-26,4,Kartu Debit,"Gg. Pelajar Pejuang No. 909, Kotamobagu, KI 33942",Kesehatan,2,13570296
T00062,U6378,P385,2024-10-16,2,Virtual Account,"Gang BKR No. 5, Bekasi, Lampung 62328",Elektronik,5,6805490
T00063,U9785,P439,2025-01-21,1,Transfer Bank,"Gg. Ronggowarsito No. 51, Batu, JT 68516",Elektronik,2,4920339
T00064,U5349,P139,2024-02-21,2,Cash on Delivery (COD),"Gang Tebet Barat Dalam No. 4, Subulussalam, PA 37098",Elektronik,3,7421474
T00065,U9379,P218,2024-06-22,7,Kartu Debit,"Gang Suryakencana No. 12, Bandung, Maluku 11382",Elektronik,1,25955405
T00066,U1027,P632,2024-07-15,9,Kartu Debit,"Jalan Veteran No. 1, Singkawang, SR 05377",Elektronik,4,5732838
T00067,U6409,P738,2024-05-17,6,Transfer Bank,"Gang Cikutra Barat No. 43, Palu, JK 90053",Elektronik,5,15866802
T00068,U7691,P434,2024-04-04,7,Virtual Account,"Jl. Moch. Ramdan No. 29, Kota Administrasi Jakarta Utara, Jawa Tengah 84210",Makanan,2,11614897
T00069,U7888,P780,2024-04-07,7,Kartu Kredit,"Gg. Asia Afrika No. 402, Pontianak, Jambi 77589",Makanan,5,18021850
T00070,U7653,P661,2024-03-29,1,Virtual Account,"Gg. Erlangga No. 0, Pariaman, RI 17711",Elektronik,2,3656163
T00071,U6279,P576,2024-06-20,8,Kredivo,"Gg. Wonoayu No. 9, Metro, Sumatera Utara 78961",Peralatan Rumah,5,32154984
T00072,U3780,P774,2024-12-20,2,Virtual Account,"Gang Moch. Ramdan No. 57, Padangpanjang, Gorontalo 65452",Makanan,5,5723524
T00073,U2530,P938,2024-11-08,4,Virtual Account,"Jl. Dipatiukur No. 15, Sabang, BE 16560",Peralatan Rumah,2,5144376
T00074,U1400,P147,2024-06-06,4,Kredivo,"Jl. Jakarta No. 7, Bima, NT 14936",Makanan,1,15481228
T00075,U7790,P744,2025-01-09,10,Kartu Debit,"Jl. Pasteur No. 4, Malang, Aceh 29612",Fashion,4,34025310
T00076,U4997,P251,2024-11-29,1,Transfer Bank,"Gg. Veteran No. 52, Lhokseumawe, Maluku Utara 02290",Fashion,2,1525444
T00077,U9486,P575,2024-11-03,1,Dana,"Gang Rajiman No. 7, Kota Administrasi Jakarta Timur, Kalimantan Tengah 56149",Peralatan Rumah,1,3879079
T00078,U3184,P920,2024-08-22,8,Dana,"Gg. Kutisari Selatan No. 034, Yogyakarta, JB 45107",Makanan,5,21693504
T00079,U8251,P727,2024-12-02,9,Cash on Delivery (COD),"Gg. Jayawijaya No. 3, Batu, RI 60715",Makanan,4,12466017
T00080,U8777,P560,2024-09-26,5,Kartu Debit,"Gang Gardujati No. 05, Solok, SG 16136",Elektronik,5,20575470
T00081,U4919,P381,2024-10-01,8,Transfer Bank,"Gang Sadang Serang No. 521, Pontianak, SS 55231",Elektronik,2,18634488
T00082,U6502,P427,2024-04-12,9,Transfer Bank,"Jl. Suryakencana No. 277, Tangerang Selatan, MU 27177",Peralatan Rumah,2,17909649
T00083,U7275,P810,2024-10-18,3,Kartu Debit,"Gg. S. Parman No. 477, Banjarmasin, PA 11998",Kesehatan,4,10407573
T00084,U6421,P655,2024-07-14,8,Cash on Delivery (COD),"Jalan Raya Ujungberung No. 7, Banjarmasin, ST 51820",Kesehatan,2,28595352
T00085,U7381,P888,2024-05-22,10,E-Wallet,"Gg. Soekarno Hatta No. 66, Tangerang, BE 15186",Makanan,4,40511960
T00086,U1096,P460,2024-06-05,5,Cash on Delivery (COD),"Jalan Indragiri No. 2, Lhokseumawe, RI 91486",Fashion,5,23156445
T00087,U4613,P599,2024-10-22,4,Virtual Account,"Gg. Monginsidi No. 05, Denpasar, KT 73322",Fashion,4,1173908
T00088,U7371,P444,2024-03-16,7,Kartu Kredit,"Gg. Wonoayu No. 962, Denpasar, JI 06537",Fashion,2,31713871
T00089,U1441,P503,2024-10-10,10,E-Wallet,"Jl. Rajawali Timur No. 35, Pangkalpinang, LA 88623",Kesehatan,4,11883290
T00090,U8564,P286,2024-12-23,1,Virtual Account,"Gg. Soekarno Hatta No. 1, Kotamobagu, DKI Jakarta 47826",Fashion,3,1825535
T00091,U8449,P434,2024-03-22,6,Cash on Delivery (COD),"Jalan Veteran No. 685, Meulaboh, DKI Jakarta 30515",Elektronik,4,9955626
T00092,U5133,P954,2024-12-19,2,Kredivo,"Gg. Waringin No. 2, Palopo, Aceh 04328",Kesehatan,5,973850
T00093,U6733,P329,2025-02-15,2,E-Wallet,"Jalan Rajawali Barat No. 036, Batam, JA 98089",Kesehatan,2,3444716
T00094,U1333,P736,2024-05-19,3,Kartu Debit,"Jalan Kendalsari No. 39, Denpasar, DKI Jakarta 18888",Peralatan Rumah,4,5514201
T00095,U2874,P677,2024-09-18,4,Kredivo,"Jalan KH Amin Jasuta No. 54, Manado, DI Yogyakarta 31952",Elektronik,3,5830068
T00096,U2876,P896,2024-03-04,3,Virtual Account,"Gg. Cikutra Timur No. 542, Probolinggo, Maluku 84124",Kesehatan,5,796218
T00097,U6111,P689,2024-07-01,7,Cash on Delivery (COD),"Gang Medokan Ayu No. 217, Kupang, KS 30548",Peralatan Rumah,1,14610176
T00098,U2669,P813,2024-07-19,5,Transfer Bank,"Jl. Peta No. 05, Bitung, PA 67652",Makanan,1,14812780
T00099,U9728,P538,2024-08-26,6,Transfer Bank,"Jalan W.R. Supratman No. 692, Madiun, GO 54479",Makanan,3,936798
T00100,U7882,P942,2024-11-20,8,Transfer Bank,"Gang Cihampelas No. 596, Subulussalam, BE 65820",Fashion,3,31252584
T00101,U3506,P545,2024-04-11,3,Dana,"Jl. Moch. Toha No. 5, Meulaboh, BT 75571",Elektronik,5,13693563
T00102,U8921,P576,2024-09-25,7,Virtual Account,"Gang Suryakencana No. 31, Ternate, Kalimantan Barat 86814",Elektronik,2,28135611
T00103,U2419,P385,2024-12-12,8,Kartu Debit,"Gg. Rajiman No. 121, Cirebon, ST 55188",Fashion,5,27221960
T00104,U7209,P444,2024-06-07,1,Kredivo,"Gg. Monginsidi No. 132, Payakumbuh, BA 89578",Elektronik,2,4530553
T00105,U8988,P317,2024-04-06,6,Virtual Account,"Gang Ronggowarsito No. 6, Samarinda, DI Yogyakarta 51778",Elektronik,3,14205048
T00106,U1166,P629,2024-06-28,4,Transfer Bank,"Gg. S. Parman No. 182, Cimahi, Jawa Timur 35841",Peralatan Rumah,4,16593952
T00107,U4937,P807,2024-05-23,8,Kredivo,"Gg. Kendalsari No. 1, Semarang, Jawa Tengah 99590",Fashion,1,6644704
T00108,U5820,P326,2025-01-01,7,Kartu Debit,"Gg. Suryakencana No. 969, Payakumbuh, Lampung 73647",Elektronik,5,22018969
T00109,U8753,P666,2024-03-15,9,QRIS,"Gang Ronggowarsito No. 35, Lubuklinggau, Maluku Utara 62588",Fashion,5,25423902
T00110,U6764,P819,2024-03-28,8,Virtual Account,"Jalan Pasteur No. 32, Banjarbaru, LA 96325",Elektronik,3,15871144
T00111,U2976,P838,2025-02-12,4,QRIS,"Gg. Monginsidi No. 74, Banda Aceh, JK 87339",Kesehatan,5,6412596
T00112,U4138,P321,2024-07-02,8,Virtual Account,"Gang Kutisari Selatan No. 7, Prabumulih, Aceh 62456",Makanan,5,19391720
T00113,U2647,P952,2024-07-07,4,Virtual Account,"Jl. Siliwangi No. 4, Meulaboh, Sumatera Selatan 84991",Peralatan Rumah,3,6221056
T00114,U5952,P114,2024-04-05,9,Kartu Kredit,"Gang Stasiun Wonokromo No. 23, Pekalongan, Banten 02578",Elektronik,1,4566573
T00115,U5786,P814,2024-08-11,3,Kredivo,"Gang Jamika No. 94, Pekalongan, Sumatera Selatan 94705",Kesehatan,1,14596797
T00116,U5658,P580,2024-06-23,8,Kredivo,"Jalan Kutisari Selatan No. 49, Tebingtinggi, Bengkulu 28962",Elektronik,2,3847832
T00117,U5136,P982,2024-12-31,8,Transfer Bank,"Jl. Asia Afrika No. 56, Padang Sidempuan, Kalimantan Tengah 89702",Kesehatan,4,33400552
T00118,U2213,P690,2024-09-04,1,Kartu Kredit,"Gang Raya Setiabudhi No. 785, Tangerang, Kepulauan Bangka Belitung 33484",Peralatan Rumah,5,2598757
T00119,U2395,P354,2024-05-13,2,Dana,"Gg. Raya Setiabudhi No. 58, Kotamobagu, JA 65240",Fashion,5,3886400
T00120,U9561,P489,2024-06-06,8,Kredivo,"Gang Ronggowarsito No. 384, Bogor, Gorontalo 30833",Elektronik,5,29178280
T00121,U6003,P682,2024-03-07,10,E-Wallet,"Gang Dipenogoro No. 2, Purwokerto, Jawa Timur 77345",Makanan,1,17930510
T00122,U4457,P370,2024-06-05,2,Kartu Kredit,"Jl. Jend. Sudirman No. 20, Payakumbuh, Kalimantan Barat 00499",Peralatan Rumah,2,9360892
T00123,U2229,P260,2024-03-28,1,Cash on Delivery (COD),"Gang HOS. Cokroaminoto No. 7, Depok, JA 27420",Fashion,5,3991911
T00124,U5771,P133,2024-11-28,4,Virtual Account,"Jl. Kendalsari No. 6, Pekanbaru, MU 61227",Elektronik,4,2588396
T00125,U4824,P370,2024-06-20,10,Kartu Debit,"Gang Moch. Toha No. 45, Sawahlunto, Aceh 53017",Fashion,1,46804460
T00126,U9922,P330,2024-06-14,3,Virtual Account,"Jalan KH Amin Jasuta No. 59, Jayapura, Jawa Barat 27956",Peralatan Rumah,1,14089890
T00127,U1977,P269,2024-11-14,5,Virtual Account,"Jl. Ahmad Dahlan No. 85, Salatiga, JA 88398",Fashion,1,19908615
T00128,U5982,P816,2024-04-14,7,Virtual Account,"Jalan Laswi No. 9, Bekasi, Sumatera Selatan 07286",Makanan,5,29345778
T00129,U8172,P182,2024-08-11,10,E-Wallet,"Jalan Suniaraja No. 03, Banjar, Sulawesi Selatan 18017",Fashion,3,21502380
T00130,U1423,P193,2024-02-28,4,E-Wallet,"Jl. H.J Maemunah No. 6, Metro, ST 61825",Elektronik,5,1549948
T00131,U3870,P581,2024-04-02,9,Kredivo,"Jl. Abdul Muis No. 478, Prabumulih, Papua Barat 37524",Elektronik,2,44640900
T00132,U8141,P750,2024-04-29,8,Transfer Bank,"Jalan Moch. Toha No. 119, Palopo, Bengkulu 06738",Fashion,3,27803776
T00133,U6460,P428,2024-05-10,2,Kartu Kredit,"Jalan Joyoboyo No. 99, Kendari, Maluku 83644",Elektronik,4,8412590
T00134,U5722,P778,2024-03-10,7,Dana,"Jalan Sentot Alibasa No. 6, Tanjungpinang, Sulawesi Barat 24628",Kesehatan,4,5520893
T00135,U6153,P358,2024-08-17,6,Transfer Bank,"Jalan Rawamangun No. 866, Meulaboh, Kalimantan Utara 35175",Fashion,5,357930
T00136,U9889,P573,2024-03-22,7,E-Wallet,"Gang Tebet Barat Dalam No. 9, Batu, Kalimantan Selatan 73540",Peralatan Rumah,5,21593775
T00137,U9167,P740,2024-05-08,8,E-Wallet,"Jalan Rungkut Industri No. 3, Kendari, Maluku Utara 67854",Peralatan Rumah,3,37257504
T00138,U3146,P394,2024-05-27,8,Kredivo,"Jalan Waringin No. 35, Padang Sidempuan, BT 20489",Kesehatan,1,16458976
T00139,U3594,P418,2024-09-27,9,E-Wallet,"Jl. Rumah Sakit No. 693, Purwokerto, NB 77725",Makanan,4,7487055
T00140,U4681,P961,2024-04-21,2,Kredivo,"Jl. Ahmad Dahlan No. 100, Bogor, Kalimantan Timur 20387",Kesehatan,2,8461352
T00141,U5781,P621,2024-07-09,5,Cash on Delivery (COD),"Jalan Abdul Muis No. 8, Balikpapan, Bali 84086",Fashion,4,10472815
T00142,U8483,P664,2024-12-25,3,Cash on Delivery (COD),"Jl. Moch. Toha No. 984, Kota Administrasi Jakarta Timur, Riau 56793",Peralatan Rumah,5,12940299
T00143,U3236,P984,2024-11-12,2,Virtual Account,"Jl. Dipatiukur No. 66, Banjarmasin, Aceh 17659",Fashion,3,8618424
T00144,U5377,P940,2025-01-14,1,Virtual Account,"Jl. Ahmad Yani No. 40, Tangerang Selatan, Kepulauan Riau 25039",Elektronik,5,4914749
T00145,U9022,P986,2024-04-11,3,Kredivo,"Jalan Ahmad Yani No. 968, Meulaboh, JB 85016",Makanan,4,8835327
T00146,U6446,P665,2024-05-16,9,Cash on Delivery (COD),"Gang Astana Anyar No. 4, Pasuruan, Kalimantan Timur 86629",Fashion,3,14692770
T00147,U4912,P685,2024-10-29,7,Kartu Debit,"Jalan Ciumbuleuit No. 426, Ternate, PB 51104",Fashion,1,19033392
T00148,U8749,P822,2024-08-06,7,Cash on Delivery (COD),"Jl. Dipatiukur No. 678, Bima, BA 58199",Peralatan Rumah,4,2523801
T00149,U3068,P614,2024-12-16,10,QRIS,"Gg. Tubagus Ismail No. 18, Samarinda, SU 62244",Kesehatan,4,8864420
T00150,U9617,P567,2024-05-30,1,Kartu Kredit,"Jl. Bangka Raya No. 64, Batu, PA 37993",Fashion,2,677704
T00151,U8692,P900,2024-08-11,5,QRIS,"Jalan Suniaraja No. 96, Palembang, Nusa Tenggara Barat 92459",Makanan,4,3618665
T00152,U6383,P972,2024-11-12,9,Cash on Delivery (COD),"Jalan Suniaraja No. 47, Madiun, Papua Barat 65193",Elektronik,4,41295339
T00153,U1588,P732,2024-10-02,2,Kartu Debit,"Jalan Cempaka No. 16, Bogor, Maluku 42661",Elektronik,2,1616312
T00154,U8110,P200,2024-08-08,2,Kredivo,"Jalan Siliwangi No. 8, Bima, KU 29096",Peralatan Rumah,3,585654
T00155,U1753,P432,2024-12-04,1,Virtual Account,"Jl. Dipenogoro No. 38, Palopo, PA 79825",Elektronik,3,3662862
T00156,U3385,P350,2024-02-25,9,Cash on Delivery (COD),"Gang Ciwastra No. 254, Palu, KT 57177",Makanan,2,13283334
T00157,U3868,P180,2024-06-18,10,Cash on Delivery (COD),"Jl. Asia Afrika No. 12, Pematangsiantar, Kalimantan Barat 58673",Makanan,2,42247350
T00158,U3344,P337,2024-12-21,8,Virtual Account,"Gg. Suniaraja No. 937, Meulaboh, AC 34191",Fashion,3,1030648
T00159,U8622,P394,2024-12-22,9,Kartu Kredit,"Jalan Erlangga No. 478, Serang, Papua Barat 91557",Kesehatan,4,18516348
T00160,U6661,P701,2024-10-12,5,Cash on Delivery (COD),"Jl. Raya Setiabudhi No. 341, Medan, Jawa Tengah 69296",Elektronik,4,12921900
T00161,U4263,P493,2024-07-29,8,Transfer Bank,"Jl. Rajiman No. 22, Palopo, Bengkulu 07236",Peralatan Rumah,4,38781080
T00162,U6881,P688,2024-09-21,5,Virtual Account,"Gang Cempaka No. 21, Tual, KI 04384",Kesehatan,4,11762540
T00163,U1132,P679,2024-04-21,1,Kredivo,"Jl. Pasteur No. 5, Tual, ST 61340",Elektronik,2,3005482
T00164,U4588,P751,2024-08-08,4,Virtual Account,"Gg. Gedebage Selatan No. 395, Cimahi, JB 30958",Peralatan Rumah,1,1522800
T00165,U6061,P907,2024-06-04,8,E-Wallet,"Gang Joyoboyo No. 81, Tomohon, Sulawesi Barat 42232",Makanan,3,9218896
T00166,U2476,P402,2024-11-18,6,Cash on Delivery (COD),"Gang Ir. H. Djuanda No. 4, Metro, ST 16845",Peralatan Rumah,2,6951816
T00167,U9837,P997,2024-08-10,6,Dana,"Jl. Erlangga No. 5, Prabumulih, RI 63745",Makanan,3,8581788
T00168,U5210,P944,2025-01-02,8,Virtual Account,"Gg. Sadang Serang No. 0, Bengkulu, SG 12770",Elektronik,1,31829184
T00169,U2233,P244,2024-07-31,4,Cash on Delivery (COD),"Jalan Pelajar Pejuang No. 541, Surakarta, Jawa Timur 64361",Makanan,3,3230060
T00170,U7464,P114,2024-11-15,5,Dana,"Gg. Ciumbuleuit No. 938, Balikpapan, Aceh 16271",Kesehatan,4,2536985
T00171,U7038,P788,2024-05-14,5,Cash on Delivery (COD),"Jl. Raya Setiabudhi No. 42, Tomohon, JB 18909",Elektronik,1,10057200
T00172,U8724,P125,2024-10-25,10,Dana,"Jalan Medokan Ayu No. 2, Singkawang, Sulawesi Tengah 11219",Elektronik,5,9097910
T00173,U4626,P763,2024-11-25,2,Kredivo,"Gang HOS. Cokroaminoto No. 413, Tanjungbalai, BA 38983",Elektronik,4,2057496
T00174,U3290,P146,2024-12-02,1,Virtual Account,"Jl. Yos Sudarso No. 13, Subulussalam, YO 55269",Fashion,1,865305
T00175,U4846,P650,2024-07-28,3,Cash on Delivery (COD),"Jalan Asia Afrika No. 1, Kota Administrasi Jakarta Selatan, KT 06848",Fashion,3,13744389
T00176,U7866,P701,2024-12-09,3,Cash on Delivery (COD),"Jalan KH Amin Jasuta No. 8, Kota Administrasi Jakarta Utara, JK 18328",Kesehatan,4,7753140
T00177,U7686,P386,2024-06-21,1,QRIS,"Gang Moch. Toha No. 316, Palu, BE 21020",Peralatan Rumah,4,3780379
T00178,U4868,P975,2024-04-19,6,Transfer Bank,"Jalan Soekarno Hatta No. 410, Pagaralam, KR 49177",Elektronik,5,23120886
T00179,U6876,P162,2024-09-01,7,Virtual Account,"Jalan Soekarno Hatta No. 419, Kediri, SS 00307",Peralatan Rumah,1,28347137
T00180,U8450,P193,2024-07-06,4,E-Wallet,"Jl. M.H Thamrin No. 6, Madiun, KU 54195",Kesehatan,3,1549948
T00181,U4990,P228,2024-04-02,10,Kartu Debit,"Jl. Surapati No. 744, Bekasi, Sulawesi Tenggara 53494",Kesehatan,5,17877610
T00182,U4538,P932,2024-11-29,4,QRIS,"Gang Kiaracondong No. 8, Bukittinggi, Aceh 03850",Peralatan Rumah,5,295144
T00183,U5542,P979,2024-06-25,3,Kartu Kredit,"Jalan Laswi No. 3, Pasuruan, Bengkulu 41038",Makanan,3,4541361
T00184,U2801,P776,2024-07-25,1,Kartu Kredit,"Jl. S. Parman No. 619, Palangkaraya, JB 44565",Kesehatan,3,2045914
T00185,U6304,P116,2024-06-18,3,Virtual Account,"Jl. Kiaracondong No. 912, Cimahi, ST 56185",Kesehatan,2,10743819
T00186,U9619,P216,2024-12-11,2,Kredivo,"Gang Pasirkoja No. 124, Jambi, Maluku Utara 13568",Fashion,3,8710704
T00187,U2786,P562,2024-03-06,9,Kartu Debit,"Jl. Surapati No. 88, Bengkulu, SG 21003",Makanan,1,39818241
T00188,U5941,P569,2024-04-06,1,E-Wallet,"Jalan Indragiri No. 4, Banda Aceh, DI Yogyakarta 72151",Fashion,4,3625842
T00189,U2768,P602,2024-03-03,8,Transfer Bank,"Gg. Suniaraja No. 06, Cirebon, NT 24472",Kesehatan,3,10354512
